iter	Passed	Remaining
0	144	144652
1	145	72506
2	145	48432
3	146	36410
4	146	29183
5	147	24364
6	147	20925
7	148	18360
8	148	16354
9	148	14747
10	149	13439
11	149	12344
12	150	11414
13	150	10622
14	151	9931
15	151	9325
16	152	8793
17	152	8320
18	152	7899
19	153	7517
20	153	7174
21	154	6863
22	154	6579
23	155	6317
24	155	6076
25	156	5854
26	156	5647
27	157	5456
28	157	5276
29	158	5110
30	158	4954
31	158	4807
32	159	4669
33	159	4540
34	160	4418
35	160	4303
36	161	4194
37	161	4090
38	161	3991
39	162	3897
40	162	3808
41	163	3723
42	163	3642
43	164	3565
44	164	3491
45	164	3420
46	165	3352
47	165	3287
48	166	3225
49	166	3164
50	166	3107
51	167	3052
52	167	2999
53	168	2948
54	168	2899
55	169	2851
56	169	2805
57	170	2761
58	170	2718
59	170	2676
60	171	2636
61	171	2599
62	172	2563
63	172	2526
64	173	2492
65	173	2457
66	174	2425
67	174	2390
68	174	2359
69	175	2329
70	175	2299
71	176	2270
72	176	2242
73	176	2214
74	177	2187
75	177	2162
76	178	2136
77	178	2112
78	179	2087
79	179	2064
80	179	2041
81	180	2018
82	180	1997
83	181	1975
84	181	1953
85	181	1933
86	182	1911
87	182	1892
88	183	1873
89	183	1855
90	184	1838
91	184	1820
92	184	1803
93	185	1787
94	185	1771
95	186	1754
96	186	1738
97	187	1722
98	187	1707
99	188	1692
100	188	1677
101	188	1661
102	189	1647
103	189	1632
104	189	1618
105	190	1605
106	190	1591
107	191	1578
108	191	1566
109	192	1554
110	192	1541
111	192	1529
112	193	1517
113	193	1505
114	194	1494
115	194	1482
116	194	1471
117	195	1460
118	195	1449
119	196	1438
120	196	1428
121	197	1418
122	197	1406
123	197	1396
124	198	1387
125	198	1377
126	199	1369
127	199	1358
128	199	1349
129	200	1340
130	200	1331
131	201	1322
132	201	1314
133	202	1305
134	202	1297
135	202	1288
136	203	1280
137	203	1272
138	204	1263
139	204	1256
140	204	1248
141	205	1240
142	205	1232
143	206	1225
144	206	1218
145	207	1210
146	207	1203
147	207	1197
148	208	1190
149	208	1183
150	209	1176
151	209	1169
152	210	1163
153	210	1156
154	210	1150
155	211	1143
156	211	1137
157	212	1131
158	212	1125
159	213	1119
160	213	1113
161	214	1107
162	214	1101
163	214	1095
164	215	1089
165	215	1084
166	216	1078
167	216	1072
168	217	1067
169	217	1061
170	217	1056
171	218	1050
172	218	1045
173	219	1040
174	219	1035
175	220	1030
176	220	1025
177	220	1020
178	221	1015
179	221	1010
180	221	1004
181	222	999
182	222	994
183	223	989
184	223	985
185	224	980
186	224	975
187	224	971
188	225	966
189	225	962
190	226	957
191	226	953
192	227	949
193	227	945
194	227	940
195	228	936
196	228	932
197	229	928
198	229	924
199	230	920
200	230	916
201	230	912
202	231	908
203	231	904
204	232	900
205	232	896
206	233	892
207	233	889
208	233	885
209	234	881
210	234	878
211	235	874
212	235	870
213	236	867
214	236	863
215	236	859
216	237	856
217	237	852
218	238	849
219	238	845
220	238	842
221	239	838
222	239	835
223	240	832
224	240	829
225	241	826
226	241	822
227	242	819
228	242	816
229	242	813
230	243	810
231	243	807
232	244	804
233	244	801
234	245	798
235	245	795
236	246	792
237	246	789
238	247	786
239	247	783
240	247	780
241	248	778
242	248	775
243	249	772
244	249	769
245	250	766
246	250	763
247	250	760
248	251	758
249	251	755
250	252	752
251	252	749
252	253	747
253	253	744
254	253	741
255	254	739
256	254	736
257	255	734
258	255	732
259	256	729
260	256	727
261	257	724
262	257	722
263	258	719
264	258	717
265	259	715
266	259	712
267	259	710
268	260	707
269	260	705
270	261	702
271	261	700
272	262	697
273	262	695
274	262	692
275	263	690
276	263	688
277	264	685
278	264	683
279	264	681
280	265	678
281	265	676
282	266	674
283	266	672
284	267	670
285	267	667
286	267	665
287	268	663
288	268	661
289	269	659
290	269	657
291	270	655
292	270	653
293	271	650
294	271	648
295	271	646
296	272	644
297	272	642
298	273	640
299	273	638
300	274	636
301	274	634
302	274	632
303	275	630
304	275	628
305	276	626
306	276	624
307	276	622
308	277	620
309	277	618
310	278	616
311	278	614
312	279	612
313	279	610
314	279	608
315	280	607
316	280	605
317	281	603
318	281	601
319	282	599
320	282	597
321	283	596
322	283	594
323	283	592
324	284	590
325	284	588
326	285	586
327	285	585
328	286	583
329	286	581
330	286	579
331	287	577
332	287	576
333	288	574
334	288	572
335	288	571
336	289	569
337	289	567
338	290	566
339	290	564
340	291	562
341	291	561
342	292	559
343	292	558
344	293	556
345	293	554
346	293	553
347	294	551
348	294	549
349	295	548
350	295	546
351	296	545
352	296	543
353	296	541
354	297	540
355	297	538
356	298	537
357	298	535
358	299	534
359	299	532
360	299	530
361	300	529
362	300	527
363	301	526
364	301	524
365	302	523
366	302	521
367	302	520
368	303	518
369	303	517
370	304	515
371	304	514
372	305	512
373	305	511
374	305	509
375	306	508
376	306	507
377	307	505
378	307	504
379	308	502
380	308	501
381	308	499
382	309	498
383	309	497
384	310	495
385	310	494
386	311	492
387	311	491
388	312	490
389	312	488
390	312	487
391	313	485
392	313	484
393	314	483
394	314	481
395	315	480
396	315	479
397	315	477
398	316	476
399	316	475
400	317	473
401	317	472
402	318	471
403	318	469
404	318	468
405	319	467
406	319	465
407	320	464
408	320	463
409	321	462
410	321	460
411	321	459
412	322	458
413	322	457
414	323	456
415	324	455
416	324	454
417	325	453
418	326	452
419	326	451
420	327	450
421	327	449
422	328	447
423	328	446
424	329	445
425	329	444
426	330	443
427	330	441
428	331	440
429	331	439
430	331	438
431	332	436
432	332	435
433	333	434
434	333	433
435	334	432
436	334	430
437	335	429
438	335	428
439	335	427
440	336	426
441	336	425
442	337	424
443	337	423
444	338	422
445	339	421
446	339	420
447	340	418
448	340	417
449	340	416
450	341	415
451	341	414
452	342	413
453	342	412
454	343	411
455	343	410
456	344	409
457	344	407
458	345	406
459	345	405
460	346	404
461	346	403
462	346	402
463	347	401
464	347	400
465	348	399
466	348	398
467	349	397
468	350	396
469	350	395
470	351	394
471	351	393
472	352	392
473	352	391
474	353	390
475	353	389
476	354	388
477	354	387
478	355	386
479	355	385
480	355	384
481	356	382
482	356	381
483	357	380
484	357	379
485	358	378
486	358	377
487	358	376
488	359	375
489	359	374
490	360	373
491	360	372
492	361	371
493	361	370
494	362	369
495	362	368
496	363	367
497	363	366
498	364	365
499	364	364
500	365	363
501	365	362
502	365	361
503	366	360
504	366	359
505	367	358
506	367	357
507	368	356
508	368	355
509	368	354
510	369	353
511	369	352
512	370	351
513	370	350
514	371	349
515	371	348
516	371	347
517	372	346
518	372	345
519	373	344
520	373	343
521	374	342
522	374	341
523	375	340
524	375	339
525	376	338
526	376	338
527	377	337
528	377	336
529	377	335
530	378	334
531	378	333
532	379	332
533	379	331
534	380	330
535	380	329
536	381	328
537	381	327
538	381	326
539	382	325
540	382	324
541	383	323
542	383	322
543	384	321
544	384	320
545	384	319
546	385	319
547	385	318
548	386	317
549	386	316
550	387	315
551	387	314
552	387	313
553	388	312
554	388	311
555	389	310
556	389	309
557	390	309
558	390	308
559	390	307
560	391	306
561	391	305
562	392	304
563	392	303
564	393	302
565	393	301
566	393	300
567	394	299
568	394	299
569	395	298
570	395	297
571	396	296
572	396	295
573	396	294
574	397	293
575	397	292
576	398	291
577	398	291
578	399	290
579	399	289
580	399	288
581	400	287
582	400	286
583	401	285
584	401	284
585	402	284
586	402	283
587	402	282
588	403	281
589	403	280
590	404	279
591	404	278
592	404	277
593	405	277
594	405	276
595	406	275
596	406	274
597	407	273
598	407	272
599	407	271
600	408	271
601	408	270
602	409	269
603	409	268
604	410	267
605	410	267
606	411	266
607	411	265
608	412	264
609	412	263
610	412	262
611	413	262
612	413	261
613	414	260
614	414	259
615	414	258
616	415	257
617	415	257
618	416	256
619	416	255
620	417	254
621	417	253
622	417	252
623	418	252
624	418	251
625	419	250
626	419	249
627	420	248
628	420	247
629	420	247
630	421	246
631	421	245
632	422	244
633	422	244
634	423	243
635	423	242
636	424	241
637	424	240
638	424	240
639	425	239
640	425	238
641	426	237
642	426	236
643	426	236
644	427	235
645	427	234
646	428	233
647	428	232
648	429	232
649	429	231
650	430	230
651	430	229
652	430	228
